행정코드	행정구역명	여부
11	서울특별시	Y
11010	종로구	Y
1101072	청운효자동	Y
1101072	청운효자동	Y
1101053	사직동	Y
1101054	삼청동	Y
1101055	부암동	Y
1101056	평창동	Y
1101057	무악동	Y
1101058	교남동	Y
1101060	가회동	Y
1101061	종로1·2·3·4가동	Y
1101063	종로5·6가동	Y
1101064	이화동	Y
1101073	혜화동	Y
1101073	혜화동	Y
1101067	창신1동	Y
1101068	창신2동	Y
1101069	창신3동	Y
1101070	숭인1동	Y
1101071	숭인2동	Y
11020	중구	Y
1102052	소공동	Y
1102054	회현동	Y
1102055	명동	Y
1102057	필동	Y
1102058	장충동	Y
1102059	광희동	Y
1102060	을지로동	Y
1102065	신당5동	Y
1102067	황학동	Y
1102068	중림동	Y
1102069	신당동	Y
1102070	다산동	Y
1102071	약수동	Y
1102072	청구동	Y
1102073	동화동	Y
11030	용산구	Y
1103051	후암동	Y
1103052	용산2가동	Y
1103053	남영동	Y
1103071	청파동	Y
1103071	청파동	Y
1103072	원효로1동	Y
1103072	원효로1동	Y
1103057	원효로2동	Y
1103058	효창동	Y
1103059	용문동	Y
1103073	한강로동	Y
1103073	한강로동	Y
1103063	이촌1동	Y
1103064	이촌2동	Y
1103065	이태원1동	Y
1103066	이태원2동	Y
1103074	한남동	Y
1103074	한남동	Y
1103069	서빙고동	Y
1103070	보광동	Y
11040	성동구	Y
1104071	왕십리도선동	Y
1104071	왕십리도선동	Y
1104052	왕십리2동	Y
1104054	마장동	Y
1104055	사근동	Y
1104056	행당1동	Y
1104057	행당2동	Y
1104058	응봉동	Y
1104059	금호1가동	Y
1104072	금호2·3가동	Y
1104072	금호2·3가동	Y
1104062	금호4가동	Y
1104073	옥수동	Y
1104073	옥수동	Y
1104065	성수1가1동	Y
1104066	성수1가2동	Y
1104067	성수2가1동	Y
1104068	성수2가3동	Y
1104069	송정동	Y
1104070	용답동	Y
11050	광진구	Y
1105067	자양4동	Y
1105067	자양4동	Y
1105053	화양동	Y
1105054	군자동	Y
1105055	중곡1동	Y
1105056	중곡2동	Y
1105057	중곡3동	Y
1105058	중곡4동	Y
1105059	능동	Y
1105060	구의1동	Y
1105061	구의2동	Y
1105062	구의3동	Y
1105063	광장동	Y
1105064	자양1동	Y
1105065	자양2동	Y
1105066	자양3동	Y
11060	동대문구	Y
1106081	용신동	Y
1106081	용신동	Y
1106081	용신동	Y
1106082	제기동	Y
1106082	제기동	Y
1106083	전농1동	Y
1106084	전농2동	Y
1106084	전농2동	Y
1106084	전농2동	Y
1106091	답십리1동	Y
1106086	답십리2동	Y
1106086	답십리2동	Y
1106086	답십리2동	Y
1106086	답십리2동	Y
1106087	장안1동	Y
1106088	장안2동	Y
1106088	장안2동	Y
1106088	장안2동	Y
1106080	청량리동	Y
1106080	청량리동	Y
1106071	회기동	Y
1106072	휘경1동	Y
1106073	휘경2동	Y
1106089	이문1동	Y
1106090	이문2동	Y
1106090	이문2동	Y
11070	중랑구	Y
1107071	면목본동	Y
1107071	면목본동	Y
1107052	면목2동	Y
1107072	면목3·8동	Y
1107072	면목3·8동	Y
1107054	면목4동	Y
1107055	면목5동	Y
1107057	면목7동	Y
1107059	상봉1동	Y
1107060	상봉2동	Y
1107061	중화1동	Y
1107062	중화2동	Y
1107062	중화2동	Y
1107064	묵1동	Y
1107065	묵2동	Y
1107073	망우본동	Y
1107073	망우본동	Y
1107068	망우3동	Y
1107069	신내1동	Y
1107070	신내2동	Y
11080	성북구	Y
1108081	성북동	Y
1108081	성북동	Y
1108082	삼선동	Y
1108082	삼선동	Y
1108082	삼선동	Y
1108083	동선동	Y
1108083	동선동	Y
1108058	돈암1동	Y
1108059	돈암2동	Y
1108060	안암동	Y
1108061	보문동	Y
1108062	정릉1동	Y
1108063	정릉2동	Y
1108064	정릉3동	Y
1108065	정릉4동	Y
1108066	길음1동	Y
1108066	길음1동	Y
1108068	길음2동	Y
1108084	종암동	Y
1108084	종암동	Y
1108071	월곡1동	Y
1108071	월곡1동	Y
1108071	월곡1동	Y
1108072	월곡2동	Y
1108072	월곡2동	Y
1108076	장위1동	Y
1108077	장위2동	Y
1108078	장위3동	Y
1108085	석관동	Y
1108085	석관동	Y
11090	강북구	Y
1109069	삼양동	Y
1109069	삼양동	Y
1109070	미아동	Y
1109071	송중동	Y
1109071	송중동	Y
1109072	송천동	Y
1109072	송천동	Y
1109073	삼각산동	Y
1109060	번1동	Y
1109061	번2동	Y
1109062	번3동	Y
1109063	수유1동	Y
1109064	수유2동	Y
1109065	수유3동	Y
1109074	우이동	Y
1109075	인수동	Y
1109075	인수동	Y
11100	도봉구	Y
1110051	쌍문1동	Y
1110052	쌍문2동	Y
1110053	쌍문3동	Y
1110054	쌍문4동	Y
1110055	방학1동	Y
1110056	방학2동	Y
1110057	방학3동	Y
1110057	방학3동	Y
1110059	창1동	Y
1110060	창2동	Y
1110061	창3동	Y
1110062	창4동	Y
1110063	창5동	Y
1110064	도봉1동	Y
1110065	도봉2동	Y
11110	노원구	Y
1111051	월계1동	Y
1111052	월계2동	Y
1111053	월계3동	Y
1111053	월계3동	Y
1111079	공릉1동	Y
1111079	공릉1동	Y
1111056	공릉2동	Y
1111058	하계1동	Y
1111059	하계2동	Y
1111060	중계본동	Y
1111061	중계1동	Y
1111078	중계2·3동	Y
1111078	중계2·3동	Y
1111064	중계4동	Y
1111065	상계1동	Y
1111066	상계2동	Y
1111076	상계3·4동	Y
1111076	상계3·4동	Y
1111069	상계5동	Y
1111077	상계6·7동	Y
1111077	상계6·7동	Y
1111072	상계8동	Y
1111073	상계9동	Y
1111074	상계10동	Y
11120	은평구	Y
1112051	녹번동	Y
1112052	불광1동	Y
1112072	불광2동	Y
1112072	불광2동	Y
1112055	갈현1동	Y
1112056	갈현2동	Y
1112057	구산동	Y
1112058	대조동	Y
1112059	응암1동	Y
1112060	응암2동	Y
1112073	응암3동	Y
1112073	응암3동	Y
1112074	역촌동	Y
1112074	역촌동	Y
1112065	신사1동	Y
1112066	신사2동	Y
1112067	증산동	Y
1112068	수색동	Y
1112071	진관동	Y
1112071	진관동	Y
11130	서대문구	Y
1113073	충현동	Y
1113073	충현동	Y
1113052	천연동	Y
1113074	북아현동	Y
1113074	북아현동	Y
1113075	신촌동	Y
1113075	신촌동	Y
1113076	연희동	Y
1113076	연희동	Y
1113076	연희동	Y
1113062	홍제1동	Y
1113062	홍제1동	Y
1113064	홍제3동	Y
1113065	홍제2동	Y
1113066	홍은1동	Y
1113066	홍은1동	Y
1113068	홍은2동	Y
1113069	남가좌1동	Y
1113070	남가좌2동	Y
1113071	북가좌1동	Y
1113072	북가좌2동	Y
11140	마포구	Y
1114077	공덕동	Y
1114077	공덕동	Y
1114077	공덕동	Y
1114078	아현동	Y
1114078	아현동	Y
